gender,ssc_p,ssc_b,hsc_p,hsc_b,hsc_s,degree_p,degree_t,workex,etest_p,specialisation,mba_p,status
1,67,1,91,1,1,58,2,0,55,1,58.8,1
1,79.33,0,78.33,1,2,77.48,2,1,86.5,0,66.28,1
1,65,0,68,0,0,64,0,0,75,0,57.8,1
1,56,0,52,0,2,52,2,0,66,1,59.43,0
1,85.8,0,73.6,0,1,73.3,0,0,96.8,0,55.5,1
1,55,1,49.8,1,2,67.25,2,1,55,0,51.58,0
0,46,1,49.2,1,1,79,0,0,74.28,0,53.29,0
1,82,0,64,0,2,66,2,1,67,0,62.14,1
1,73,0,79,0,1,72,0,0,91.34,0,61.29,1
1,58,0,70,0,1,61,0,0,54,0,52.21,0
1,58,0,61,0,1,60,0,1,62,1,60.85,1
1,69.6,0,68.4,0,1,78.3,0,1,60,0,63.7,1
0,47,0,55,1,2,65,0,0,62,1,65.04,0
0,77,0,87,0,1,59,0,0,68,0,68.63,1
1,62,0,47,0,1,50,0,0,76,1,54.96,0
0,65,0,75,0,1,69,0,1,72,0,64.66,1
1,63,0,66.2,0,1,65.6,0,1,60,0,62.54,1
0,55,0,67,0,1,64,0,0,60,0,67.28,0
0,63,0,66,0,1,64,0,0,68,1,64.08,0
1,60,1,67,1,0,70,0,1,50.48,0,77.89,1
1,62,1,65,1,1,66,0,0,50,1,56.7,1
0,79,1,76,1,1,85,0,0,95,0,69.06,1
0,69.8,1,60.8,1,2,72.23,2,0,55.53,1,68.81,1
0,77.4,1,60,1,2,64.74,2,1,92,0,63.62,1
1,76.5,1,97.7,1,2,78.86,2,0,97.4,0,74.01,1
0,52.58,1,54.6,0,1,50.2,0,1,76,0,65.33,0
1,71,1,79,1,1,66,0,1,94,0,57.55,1
1,63,1,67,1,1,66,0,0,68,1,57.69,1
1,76.76,1,76.5,1,1,67.5,0,1,73.35,0,64.15,1
1,62,0,67,0,1,58,0,0,77,0,51.29,0
0,64,0,73.5,0,1,73,0,0,52,1,56.7,1
0,67,0,53,0,2,65,2,0,64,1,58.32,0
0,61,0,81,0,1,66.4,0,0,50.89,1,62.21,1
0,87,1,65,1,2,81,0,1,88,0,72.78,1
1,62,1,51,1,2,52,1,0,68.44,1,62.77,0
0,69,0,78,0,1,72,0,0,71,1,62.74,1
1,51,0,44,0,1,57,0,0,64,0,51.45,0
0,79,0,76,0,2,65.6,2,0,58,1,55.47,1
0,73,1,58,1,2,66,0,0,53.7,1,56.86,1
1,81,1,68,1,2,64,2,0,93,0,62.56,1
0,78,0,77,1,1,80,0,0,60,0,66.72,1
0,74,1,63.16,1,1,65,0,1,65,1,69.76,0
1,49,1,39,0,2,65,1,0,63,0,51.21,0
1,87,1,87,1,1,68,0,0,95,1,62.9,1
0,77,1,73,1,1,81,0,1,89,0,69.7,1
0,76,0,64,0,2,72,2,0,58,1,66.53,0
0,70.89,1,71.98,1,2,65.6,0,0,68,1,71.63,0
1,63,0,60,0,1,57,0,1,78,0,54.55,1
1,63,1,62,1,1,68,0,0,64,0,62.46,1
0,50,1,37,1,0,52,1,0,65,1,56.11,0
0,75.2,0,73.2,0,2,68.4,0,0,65,1,62.98,1
1,54.4,0,61.12,0,1,56.2,0,0,67,1,62.65,0
0,40.89,1,45.83,1,1,53,0,0,71.2,1,65.49,0
1,80,1,70,1,2,72,2,0,87,1,71.04,1
0,74,0,60,1,2,69,0,0,78,1,65.56,1
1,60.4,0,66.6,1,2,65,0,0,71,1,52.71,1
1,63,1,71.4,1,1,61.4,0,0,68,0,66.88,1
1,68,0,76,0,1,74,0,0,80,0,63.59,1
1,74,0,62,1,2,68,0,0,74,0,57.99,1
1,52.6,0,65.58,1,2,72.11,2,0,57.6,0,56.66,1
1,74,0,70,0,2,72,0,1,60,0,57.24,1
1,84.2,0,73.4,0,1,66.89,0,0,61.6,0,62.48,1
0,86.5,1,64.2,1,2,67.4,2,0,59,0,59.69,1
1,61,1,70,1,1,64,0,0,68.5,1,59.5,0
1,80,1,73,1,1,75,0,0,61,0,58.78,1
1,54,1,47,1,2,57,0,0,89.69,1,57.1,0
1,83,1,74,1,2,66,0,0,68.92,1,58.46,1
1,80.92,1,78.5,1,1,67,0,0,68.71,0,60.99,1
0,69.7,0,47,0,1,72.7,2,0,79,1,59.24,0
1,73,0,73,0,2,66,2,1,70,0,68.07,1
1,82,1,61,1,2,62,2,0,89,0,65.45,1
1,75,1,70.29,1,1,71,0,0,95,0,66.94,1
1,84.86,1,67,1,2,78,0,0,95.5,0,68.53,1
1,64.6,0,83.83,1,1,71.72,0,0,86,0,59.75,1
1,56.6,0,64.8,0,1,70.2,0,0,84.27,0,67.2,1
0,59,0,62,1,1,77.5,0,0,74,1,67,0
0,66.5,1,70.4,0,0,71.93,0,0,61,0,64.27,1
1,64,1,80,1,2,65,2,1,69,0,57.65,1
1,84,1,90.9,1,2,64.5,2,0,86.04,0,59.42,1
0,69,0,62,0,2,66,2,0,75,1,67.99,0
0,69,1,62,1,1,69,0,1,67,1,62.35,1
1,81.7,1,63,1,2,67,0,1,86,0,70.2,1
1,63,0,67,0,1,74,0,0,82,0,60.44,0
1,84,1,79,1,2,68,2,1,84,0,66.69,1
1,70,0,63,1,2,70,2,1,55,0,62,1
0,83.84,1,89.83,1,1,77.2,0,1,78.74,0,76.18,1
1,62,1,63,1,1,64,0,0,67,0,57.03,1
1,59.6,0,51,0,2,60,1,0,75,1,59.08,0
0,66,0,62,0,1,73,0,0,58,1,64.36,1
0,84,1,75,1,2,69,2,1,62,1,62.36,1
0,85,1,90,1,1,82,0,0,92,0,68.03,1
1,52,0,57,0,1,50.8,0,0,67,1,62.79,0
0,60.23,0,69,0,2,66,0,0,72,0,59.47,1
1,52,0,62,0,1,54,0,0,72,1,55.41,0
1,58,0,62,0,1,64,0,0,53.88,0,54.97,1
1,73,0,78,1,1,65,0,1,95.46,0,62.16,1
0,76,0,70,0,2,76,0,1,66,0,64.44,1
0,70.5,0,62.5,1,1,61,0,0,93.91,0,69.03,0
0,69,0,73,0,1,65,0,0,70,0,57.31,1
1,54,0,82,1,1,63,2,0,50,0,59.47,0
0,45,1,57,1,1,58,0,1,56.39,1,64.95,0
1,63,0,72,0,1,68,0,0,78,1,60.44,1
0,77,1,61,1,1,68,0,1,57.5,0,61.31,1
1,73,0,78,0,2,73,2,1,85,1,65.83,1
1,69,0,63,1,2,65,0,1,55,1,58.23,1
1,59,0,64,1,2,58,2,0,85,1,55.3,0
1,61.08,1,50,1,2,54,2,0,71,0,65.69,0
1,82,1,90,1,1,83,0,0,80,1,73.52,1
1,61,0,82,0,1,69,0,0,84,0,58.31,1
1,52,0,63,1,2,65,2,1,86,1,56.09,0
0,69.5,0,70,0,2,72,2,0,57.2,1,54.8,1
1,51,1,54,1,2,61,2,0,60,1,60.64,0
1,58,1,61,1,1,61,0,0,58,1,53.94,1
0,73.96,1,79,1,1,67,0,0,72.15,0,63.08,1
1,65,0,68,1,2,69,0,0,53.7,1,55.01,1
0,73,1,63,1,2,66,0,0,89,0,60.5,1
1,68.2,0,72.8,0,1,66.6,0,1,96,0,70.85,1
1,77,1,75,1,2,73,2,0,80,0,67.05,1
1,76,0,80,0,2,78,2,1,97,1,70.48,1
1,60.8,0,68.4,0,1,64.6,0,1,82.66,0,64.34,1
1,58,1,40,1,2,59,0,0,73,1,58.81,0
0,64,0,67,1,2,69.6,2,1,55.67,1,71.49,1
0,66.5,0,66.8,0,0,69.3,0,1,80.4,0,71,1
1,74,1,59,1,1,73,0,1,60,1,56.7,1
1,67,0,71,0,2,64.33,1,1,64,1,61.26,1
0,84,0,73,0,1,73,0,0,75,0,73.33,1
0,79,1,61,1,2,75.5,2,1,70,0,68.2,1
0,72,1,60,1,2,69,0,0,55.5,1,58.4,1
1,80.4,0,73.4,0,2,77.72,2,1,81.2,1,76.26,1
1,76.7,0,89.7,1,1,66,0,1,90,0,68.55,1
1,62,0,65,1,1,60,0,0,84,0,64.15,0
0,74.9,1,57,1,2,62,1,1,80,0,60.78,1
1,67,1,68,1,1,64,0,1,74.4,1,53.49,1
1,73,0,64,1,1,77,0,1,65,1,60.98,1
0,77.44,0,92,1,1,72,0,1,94,0,67.13,1
0,72,0,56,1,2,69,0,0,55.6,1,65.63,1
0,47,0,59,0,0,64,0,0,78,0,61.58,0
1,67,1,63,0,1,72,0,0,56,1,60.41,1
0,82,1,64,1,2,73,2,1,96,0,71.77,1
1,77,0,70,0,1,59,0,1,58,0,54.43,1
1,65,0,64.8,1,1,69.5,0,1,56,0,56.94,1
1,66,0,64,0,2,60,0,0,60,1,61.9,0
1,85,0,60,1,2,73.43,2,1,60,0,61.29,1
1,77.67,1,64.89,1,1,70.67,0,0,89,0,60.39,1
1,52,1,50,1,0,61,0,0,60,0,58.52,0
1,89.4,1,65.66,1,2,71.25,2,0,72,1,63.23,1
1,62,0,63,1,2,66,0,0,85,1,55.14,1
1,70,0,74,0,1,65,0,0,83,0,62.28,1
0,77,0,86,0,0,56,1,0,57,0,64.08,1
1,44,0,58,0,0,55,0,1,64.25,1,58.54,0
1,71,0,58.66,0,2,58,2,1,56,0,61.3,1
1,65,0,65,0,1,75,0,0,83,0,58.87,1
0,75.4,1,60.5,0,2,84,2,0,98,0,65.25,1
1,49,1,59,1,2,65,2,1,86,0,62.48,1
1,53,0,63,1,2,60,0,1,70,0,53.2,1
1,51.57,1,74.66,1,1,59.9,0,1,56.15,1,65.99,0
1,84.2,0,69.4,0,2,65,2,1,80,1,52.72,1
1,66.5,0,62.5,0,1,60.9,0,0,93.4,0,55.03,1
1,67,1,63,1,2,64,2,0,60,0,61.87,0
1,52,0,49,1,1,58,0,0,62,1,60.59,0
1,87,0,74,0,2,65,2,1,75,1,72.29,1
1,55.6,1,51,1,1,57.5,0,0,57.63,1,62.72,0
1,74.2,0,87.6,1,1,77.25,0,1,75.2,0,66.06,1
1,63,1,67,1,2,64,2,0,75,0,66.46,1
0,67.16,0,72.5,0,1,63.35,0,0,53.04,0,65.52,1
0,63.3,0,78.33,1,1,74,0,0,80,0,74.56,0
1,62,1,62,1,1,60,0,1,63,1,52.38,1
1,67.9,1,62,1,2,67,2,1,58.1,0,75.71,0
0,48,0,51,0,1,58,0,1,60,1,58.79,0
1,59.96,1,42.16,1,2,61.26,2,0,54.48,1,65.48,0
0,63.4,1,67.2,1,1,60,0,0,58.06,1,69.28,0
1,80,1,80,1,1,72,0,1,63.79,0,66.04,1
1,73,1,58,1,1,56,0,0,84,1,52.64,1
0,52,1,52,1,2,55,2,0,67,1,59.32,0
1,73.24,1,50.83,1,2,64.27,2,1,64,0,66.23,1
1,63,1,62,1,2,65,2,0,87.5,1,60.69,0
0,59,0,60,1,1,56,0,0,55,1,57.9,1
0,73,0,97,1,1,79,0,1,89,0,70.81,1
1,68,1,56,1,2,68,2,0,73,1,68.07,1
0,77.8,0,64,0,2,64.2,2,0,75.5,1,72.14,0
1,65,0,71.5,1,1,62.8,0,1,57,0,56.6,1
1,62,0,60.33,1,2,64.21,2,0,63,1,60.02,0
1,52,1,65,1,0,57,1,1,75,0,59.81,0
1,65,0,77,0,1,69,0,0,60,1,61.82,1
0,56.28,1,62.83,1,1,59.79,0,0,60,1,57.29,0
0,88,0,72,0,2,78,1,0,82,1,71.43,1
0,52,0,64,0,1,61,0,0,55,0,62.93,0
1,78.5,0,65.5,0,2,67,2,1,95,0,64.86,1
1,61.8,1,47,1,1,54.38,0,0,57,0,56.13,0
0,54,0,77.6,1,1,69.2,0,0,95.65,0,66.94,0
0,64,1,70.2,0,1,61,0,0,50,0,62.5,0
1,67,1,61,0,2,72,0,0,72,0,61.01,1
1,65.2,0,61.4,0,1,64.8,0,1,93.4,0,57.34,1
0,60,0,63,0,0,56,1,1,80,1,56.63,1
1,52,1,55,1,1,56.3,0,0,59,0,64.74,0
1,66,0,76,0,1,72,0,1,84,1,58.95,1
1,72,1,63,1,2,77.5,2,1,78,0,54.48,1
0,83.96,1,53,1,2,91,2,0,59.32,1,69.71,1
0,67,0,70,0,1,65,1,0,88,1,71.96,0
1,69,1,65,1,1,57,0,0,73,1,55.8,1
1,69,1,60,1,1,65,0,0,87.55,0,52.81,1
1,54.2,0,63,1,2,58,0,0,79,1,58.44,0
1,70,0,63,0,2,66,2,0,61.28,1,60.11,1
1,55.68,1,61.33,1,1,56.87,0,0,66,1,58.3,1
0,74,1,73,1,1,73,0,1,80,0,67.69,1
1,61,1,62,1,1,65,0,0,62,0,56.81,1
1,41,0,42,0,2,60,0,0,97,0,53.39,0
1,83.33,0,78,1,1,61,0,1,88.56,0,71.55,1
0,43,0,60,1,2,65,0,0,92.66,1,62.92,0
1,62,0,72,0,1,65,0,0,67,0,56.49,1
1,80.6,1,82,1,1,77.6,0,0,91,0,74.49,1
1,58,1,60,1,2,72,2,0,74,0,53.62,1
1,67,1,67,1,1,73,0,1,59,0,69.72,1
0,74,1,66,1,1,58,0,0,70,1,60.23,1
1,62,0,58,1,2,53,0,0,89,1,60.22,0
